sector,Negative,Neutral,Positive
Communications,3,127,48
Consumer,8,225,74
Energy,0,15,5
Financials,4,93,37
Healthcare,5,65,20
Industrials,4,80,17
Materials,0,12,1
Other,2,75,15
Real Estate,0,12,1
Technology,17,383,146
Utilities,1,3,2
